charger_id,total_minutes_used,station_id,charger_type,max_power_kW,installation_date,utilisation_pct,idle_pct
STN_021_CH_02,14616.0,STN_021,DC_150kW,150,2024-07-26,0.9269406392694064,99.0730593607306
STN_021_CH_03,15391.0,STN_021,DC_150kW,150,2024-12-26,0.9760908168442415,99.02390918315575
STN_021_CH_04,31797.0,STN_021,DC_50kW,50,2024-03-26,2.016552511415525,97.98344748858447
STN_021_CH_05,14326.0,STN_021,DC_150kW,150,2024-07-28,0.9085489599188229,99.09145104008118
STN_021_CH_06,30463.0,STN_021,DC_50kW,50,2024-08-08,1.9319507864028411,98.06804921359716
STN_021_CH_07,31654.0,STN_021,DC_50kW,50,2024-08-12,2.0074835109081683,97.99251648909183
STN_021_CH_08,30588.0,STN_021,DC_50kW,50,2024-04-08,1.9398782343987824,98.06012176560122
STN_022_CH_01,62686.0,STN_022,DC_50kW,50,2024-04-13,3.975520040588534,96.02447995941147
STN_022_CH_02,64942.0,STN_022,DC_50kW,50,2024-02-25,4.1185946220192795,95.88140537798073
STN_022_CH_03,61115.0,STN_022,DC_50kW,50,2024-11-17,3.8758878741755454,96.12411212582445
STN_022_CH_04,62207.0,STN_022,DC_50kW,50,2024-09-11,3.945142059868087,96.05485794013191
STN_023_CH_01,12103.0,STN_023,DC_300kW,300,2024-02-09,0.7675672247590056,99.232432775241
STN_023_CH_02,30594.0,STN_023,DC_50kW,50,2024-05-02,1.9402587519025878,98.05974124809741
STN_023_CH_03,30088.0,STN_023,DC_50kW,50,2024-07-12,1.9081684424150178,98.09183155758498
STN_023_CH_04,14695.0,STN_023,DC_150kW,150,2024-06-14,0.9319507864028412,99.06804921359716
STN_023_CH_05,16388.0,STN_023,DC_150kW,150,2024-09-04,1.0393201420598681,98.96067985794014
STN_023_CH_06,32004.0,STN_023,DC_50kW,50,2024-10-07,2.0296803652968034,97.9703196347032
STN_023_CH_07,31788.0,STN_023,DC_50kW,50,2024-12-14,2.0159817351598175,97.98401826484019
STN_023_CH_08,31525.0,STN_023,DC_50kW,50,2024-09-22,1.9993023845763573,98.00069761542365
STN_024_CH_01,18063.0,STN_024,DC_150kW,150,2024-12-24,1.1455479452054793,98.85445205479452
STN_024_CH_02,18705.0,STN_024,DC_150kW,150,2024-06-14,1.1862633181126332,98.81373668188736
STN_024_CH_03,36876.0,STN_024,DC_50kW,50,2024-11-11,2.3386605783866057,97.66133942161339
STN_024_CH_04,17634.0,STN_024,DC_150kW,150,2024-11-28,1.1183409436834095,98.8816590563166
STN_024_CH_05,35823.0,STN_024,DC_50kW,50,2024-05-17,2.2718797564687976,97.72812024353121
STN_024_CH_06,34449.0,STN_024,DC_50kW,50,2024-07-11,2.1847412480974127,97.81525875190259
STN_024_CH_07,18158.0,STN_024,DC_150kW,150,2024-05-18,1.1515728056823948,98.84842719431761
STN_025_CH_01,31490.0,STN_025,DC_50kW,50,2024-07-22,1.9970826991374937,98.0029173008625
STN_025_CH_02,11559.0,STN_025,DC_300kW,300,2024-11-24,0.7330669710806698,99.26693302891933
STN_025_CH_03,12282.0,STN_025,DC_300kW,300,2024-10-19,0.7789193302891932,99.2210806697108
STN_025_CH_04,32907.0,STN_025,DC_50kW,50,2024-09-27,2.0869482496194824,97.91305175038052
STN_025_CH_05,29976.0,STN_025,DC_50kW,50,2024-05-07,1.9010654490106544,98.09893455098934
STN_025_CH_06,14568.0,STN_025,DC_150kW,150,2024-10-20,0.923896499238965,99.07610350076104
STN_025_CH_07,15888.0,STN_025,DC_150kW,150,2024-08-15,1.0076103500761036,98.9923896499239
STN_025_CH_08,16016.0,STN_025,DC_150kW,150,2024-04-17,1.0157280568239473,98.98427194317605
STN_026_CH_01,15787.0,STN_026,DC_150kW,150,2024-12-06,1.001204972095383,98.99879502790462
STN_026_CH_02,15280.0,STN_026,DC_150kW,150,2024-05-17,0.9690512430238458,99.03094875697616
STN_026_CH_03,16513.0,STN_026,DC_150kW,150,2024-10-11,1.0472475900558091,98.9527524099442
STN_026_CH_04,30895.0,STN_026,DC_50kW,50,2024-04-22,1.9593480466768138,98.04065195332319
STN_026_CH_05,32140.0,STN_026,DC_50kW,50,2024-04-05,2.0383054287163875,97.96169457128362
STN_026_CH_06,30745.0,STN_026,DC_50kW,50,2024-04-16,1.9498351090816843,98.05016489091831
STN_026_CH_07,14442.0,STN_026,DC_150kW,150,2024-02-15,0.9159056316590564,99.08409436834094
STN_026_CH_08,15306.0,STN_026,DC_150kW,150,2024-11-19,0.9707001522070016,99.029299847793
STN_027_CH_01,30989.0,STN_027,DC_50kW,50,2024-12-13,1.9653094875697614,98.03469051243025
STN_027_CH_02,16056.0,STN_027,DC_150kW,150,2024-04-05,1.0182648401826484,98.98173515981735
STN_027_CH_03,15474.0,STN_027,DC_150kW,150,2024-01-25,0.9813546423135464,99.01864535768645
STN_027_CH_04,11589.0,STN_027,DC_300kW,300,2024-02-25,0.7349695585996956,99.2650304414003
STN_027_CH_05,15065.0,STN_027,DC_150kW,150,2024-03-26,0.955416032470827,99.04458396752918
STN_027_CH_06,12797.0,STN_027,DC_300kW,300,2024-09-15,0.8115804160324708,99.18841958396753
STN_027_CH_07,30462.0,STN_027,DC_50kW,50,2024-04-28,1.9318873668188736,98.06811263318113
STN_027_CH_08,30342.0,STN_027,DC_50kW,50,2024-03-26,1.9242770167427703,98.07572298325724
STN_028_CH_01,31816.0,STN_028,DC_150kW,150,2024-09-18,2.0177574835109082,97.9822425164891
STN_028_CH_02,29778.0,STN_028,DC_150kW,150,2024-08-20,1.8885083713850837,98.11149162861491
STN_028_CH_03,23876.0,STN_028,DC_300kW,300,2024-09-14,1.5142059868087265,98.48579401319127
STN_028_CH_04,24627.0,STN_028,DC_300kW,300,2024-09-15,1.5618340943683409,98.43816590563166
STN_029_CH_01,19885.0,STN_029,DC_300kW,300,2024-12-28,1.2610984271943178,98.73890157280569
STN_029_CH_02,25566.0,STN_029,DC_150kW,150,2024-05-25,1.621385083713851,98.37861491628615
STN_029_CH_03,51285.0,STN_029,DC_50kW,50,2024-11-09,3.2524733637747336,96.74752663622526
STN_029_CH_04,24334.0,STN_029,DC_150kW,150,2024-09-16,1.543252156265855,98.45674784373415
STN_029_CH_05,25330.0,STN_029,DC_150kW,150,2024-05-15,1.606418061897514,98.39358193810249
STN_030_CH_01,65958.0,STN_030,DC_50kW,50,2024-05-08,4.183028919330289,95.81697108066972
STN_030_CH_02,61776.0,STN_030,DC_50kW,50,2024-06-18,3.9178082191780823,96.08219178082192
STN_030_CH_03,66811.0,STN_030,DC_50kW,50,2024-03-08,4.2371258244545915,95.7628741755454
STN_030_CH_04,62597.0,STN_030,DC_50kW,50,2024-03-23,3.9698756976154237,96.03012430238458
STN_031_CH_01,61757.0,STN_031,DC_50kW,50,2024-07-14,3.916603247082699,96.0833967529173
STN_031_CH_02,62154.0,STN_031,DC_50kW,50,2024-08-14,3.9417808219178085,96.0582191780822
STN_031_CH_03,62126.0,STN_031,DC_50kW,50,2024-07-13,3.9400050735667174,96.05999492643328
STN_031_CH_04,24066.0,STN_031,DC_300kW,300,2024-10-23,1.5262557077625571,98.47374429223744
STN_032_CH_01,42201.0,STN_032,DC_50kW,50,2024-10-13,2.6763698630136985,97.3236301369863
STN_032_CH_02,21434.0,STN_032,DC_150kW,150,2024-06-10,1.3593353627600204,98.64066463723998
STN_032_CH_03,21096.0,STN_032,DC_150kW,150,2024-07-18,1.3378995433789955,98.662100456621
STN_032_CH_04,20935.0,STN_032,DC_150kW,150,2024-09-26,1.3276889903602234,98.67231100963977
STN_032_CH_05,20465.0,STN_032,DC_150kW,150,2024-04-16,1.2978817858954845,98.70211821410452
STN_032_CH_06,41816.0,STN_032,DC_50kW,50,2024-07-16,2.6519533231862,97.3480466768138
STN_033_CH_01,41671.0,STN_033,DC_50kW,50,2024-06-22,2.6427574835109082,97.3572425164891
STN_033_CH_02,19896.0,STN_033,DC_150kW,150,2024-07-24,1.2617960426179604,98.73820395738204
STN_033_CH_03,43211.0,STN_033,DC_50kW,50,2024-08-05,2.740423642820903,97.2595763571791
STN_033_CH_04,15986.0,STN_033,DC_300kW,300,2024-09-01,1.0138254693049213,98.98617453069508
STN_033_CH_05,17355.0,STN_033,DC_300kW,300,2024-10-19,1.1006468797564688,98.89935312024353
STN_033_CH_06,21901.0,STN_033,DC_150kW,150,2024-02-21,1.3889523084728563,98.61104769152715
