date,session_count
2022-05-11,106
2022-05-12,124
2022-05-13,125
2022-05-14,91
2022-05-15,91
2022-05-16,122
2022-05-17,120
2022-05-18,125
2022-05-19,127
2022-05-20,111
2022-05-21,88
2022-05-22,85
2022-05-23,109
2022-05-24,125
2022-05-25,114
2022-05-26,117
2022-05-27,127
2022-05-28,98
2022-05-29,91
2022-05-30,139
2022-05-31,136
2022-06-01,121
2022-06-02,122
2022-06-03,114
2022-06-04,97
2022-06-05,105
2022-06-06,110
2022-06-07,110
2022-06-08,108
2022-06-09,121
2022-06-10,121
2022-06-11,94
2022-06-12,92
2022-06-13,114
2022-06-14,106
2022-06-15,119
2022-06-16,119
2022-06-17,120
2022-06-18,89
2022-06-19,88
2022-06-20,117
2022-06-21,123
2022-06-22,121
2022-06-23,131
2022-06-24,118
2022-06-25,92
2022-06-26,91
2022-06-27,119
2022-06-28,107
2022-06-29,117
2022-06-30,128
2022-07-01,117
2022-07-02,91
2022-07-03,82
2022-07-04,140
2022-07-05,128
2022-07-06,125
2022-07-07,103
2022-07-08,121
2022-07-09,96
2022-07-10,86
2022-07-11,121
2022-07-12,121
2022-07-13,129
2022-07-14,105
2022-07-15,105
2022-07-16,94
2022-07-17,100
2022-07-18,121
2022-07-19,121
2022-07-20,120
2022-07-21,106
2022-07-22,120
2022-07-23,108
2022-07-24,88
2022-07-25,121
2022-07-26,125
2022-07-27,127
2022-07-28,114
2022-07-29,108
2022-07-30,92
2022-07-31,84
2022-08-01,118
2022-08-02,124
2022-08-03,120
2022-08-04,127
2022-08-05,130
2022-08-06,90
2022-08-07,82
2022-08-08,135
2022-08-09,105
2022-08-10,116
2022-08-11,119
2022-08-12,115
2022-08-13,87
2022-08-14,92
2022-08-15,144
2022-08-16,120
2022-08-17,121
2022-08-18,116
2022-08-19,125
2022-08-20,73
2022-08-21,84
2022-08-22,112
2022-08-23,126
2022-08-24,122
2022-08-25,120
2022-08-26,125
2022-08-27,104
2022-08-28,98
2022-08-29,119
2022-08-30,121
2022-08-31,128
2022-09-01,110
2022-09-02,131
2022-09-03,71
2022-09-04,81
2022-09-05,117
2022-09-06,124
2022-09-07,106
2022-09-08,119
2022-09-09,126
2022-09-10,91
2022-09-11,83
2022-09-12,116
2022-09-13,119
2022-09-14,121
2022-09-15,99
2022-09-16,122
2022-09-17,81
2022-09-18,99
2022-09-19,129
2022-09-20,102
2022-09-21,136
2022-09-22,127
2022-09-23,116
2022-09-24,88
2022-09-25,84
2022-09-26,108
2022-09-27,116
2022-09-28,116
2022-09-29,121
2022-09-30,119
2022-10-01,87
2022-10-02,102
2022-10-03,112
2022-10-04,133
2022-10-05,113
2022-10-06,119
2022-10-07,127
2022-10-08,97
2022-10-09,87
2022-10-10,117
2022-10-11,119
2022-10-12,116
2022-10-13,133
2022-10-14,123
2022-10-15,90
2022-10-16,77
2022-10-17,110
2022-10-18,107
2022-10-19,131
2022-10-20,122
2022-10-21,117
2022-10-22,85
2022-10-23,96
2022-10-24,124
2022-10-25,115
2022-10-26,112
2022-10-27,134
2022-10-28,105
2022-10-29,86
2022-10-30,98
2022-10-31,118
2022-11-01,115
2022-11-02,105
2022-11-03,127
2022-11-04,116
2022-11-05,83
2022-11-06,88
2022-11-07,117
2022-11-08,122
2022-11-09,113
2022-11-10,124
2022-11-11,133
2022-11-12,91
2022-11-13,98
2022-11-14,137
2022-11-15,122
2022-11-16,117
2022-11-17,130
2022-11-18,116
2022-11-19,76
2022-11-20,95
2022-11-21,108
2022-11-22,119
2022-11-23,135
2022-11-24,110
2022-11-25,129
2022-11-26,91
2022-11-27,95
2022-11-28,140
2022-11-29,122
2022-11-30,110
2022-12-01,104
2022-12-02,130
2022-12-03,81
2022-12-04,89
2022-12-05,113
2022-12-06,143
2022-12-07,116
2022-12-08,121
2022-12-09,116
2022-12-10,87
2022-12-11,86
2022-12-12,129
2022-12-13,113
2022-12-14,117
2022-12-15,116
2022-12-16,116
2022-12-17,89
2022-12-18,84
2022-12-19,129
2022-12-20,112
2022-12-21,117
2022-12-22,136
2022-12-23,128
2022-12-24,102
2022-12-25,84
2022-12-26,124
2022-12-27,124
2022-12-28,124
2022-12-29,101
2022-12-30,116
2022-12-31,91
2023-01-01,183
2023-01-02,240
2023-01-03,257
2023-01-04,248
2023-01-05,270
2023-01-06,256
2023-01-07,205
2023-01-08,187
2023-01-09,263
2023-01-10,263
2023-01-11,252
2023-01-12,250
2023-01-13,282
2023-01-14,163
2023-01-15,188
2023-01-16,247
2023-01-17,262
2023-01-18,282
2023-01-19,240
2023-01-20,279
2023-01-21,209
2023-01-22,199
2023-01-23,280
2023-01-24,264
2023-01-25,246
2023-01-26,267
2023-01-27,261
2023-01-28,181
2023-01-29,169
2023-01-30,256
2023-01-31,250
2023-02-01,246
2023-02-02,233
2023-02-03,257
2023-02-04,182
2023-02-05,188
2023-02-06,241
2023-02-07,265
2023-02-08,252
2023-02-09,263
2023-02-10,232
2023-02-11,177
2023-02-12,202
2023-02-13,274
2023-02-14,254
2023-02-15,261
2023-02-16,249
2023-02-17,285
2023-02-18,201
2023-02-19,175
2023-02-20,245
2023-02-21,277
2023-02-22,267
2023-02-23,240
2023-02-24,280
2023-02-25,184
2023-02-26,195
2023-02-27,262
2023-02-28,245
2023-03-01,247
2023-03-02,251
2023-03-03,272
2023-03-04,194
2023-03-05,190
2023-03-06,254
2023-03-07,264
2023-03-08,253
2023-03-09,255
2023-03-10,259
2023-03-11,178
2023-03-12,185
2023-03-13,242
2023-03-14,279
2023-03-15,241
2023-03-16,241
2023-03-17,241
2023-03-18,188
2023-03-19,183
2023-03-20,260
2023-03-21,282
2023-03-22,236
2023-03-23,252
2023-03-24,279
2023-03-25,196
2023-03-26,184
2023-03-27,277
2023-03-28,260
2023-03-29,253
2023-03-30,268
2023-03-31,251
2023-04-01,166
2023-04-02,177
2023-04-03,279
2023-04-04,254
2023-04-05,259
2023-04-06,227
2023-04-07,253
2023-04-08,195
2023-04-09,192
2023-04-10,255
2023-04-11,258
2023-04-12,247
2023-04-13,274
2023-04-14,244
2023-04-15,193
2023-04-16,190
2023-04-17,245
2023-04-18,284
2023-04-19,262
2023-04-20,248
2023-04-21,241
2023-04-22,190
2023-04-23,206
2023-04-24,245
2023-04-25,227
2023-04-26,244
2023-04-27,240
2023-04-28,253
2023-04-29,184
2023-04-30,185
2023-05-01,255
2023-05-02,263
2023-05-03,230
2023-05-04,260
2023-05-05,242
2023-05-06,178
2023-05-07,182
2023-05-08,254
2023-05-09,243
2023-05-10,258
2023-05-11,236
2023-05-12,257
2023-05-13,193
2023-05-14,194
2023-05-15,242
2023-05-16,235
2023-05-17,242
2023-05-18,244
2023-05-19,288
2023-05-20,181
2023-05-21,186
2023-05-22,279
2023-05-23,278
2023-05-24,248
2023-05-25,280
2023-05-26,242
2023-05-27,182
2023-05-28,195
2023-05-29,261
2023-05-30,237
2023-05-31,261
2023-06-01,248
2023-06-02,270
2023-06-03,195
2023-06-04,168
2023-06-05,269
2023-06-06,260
2023-06-07,245
2023-06-08,259
2023-06-09,256
2023-06-10,180
2023-06-11,169
2023-06-12,268
2023-06-13,264
2023-06-14,257
2023-06-15,243
2023-06-16,260
2023-06-17,190
2023-06-18,200
2023-06-19,240
2023-06-20,250
2023-06-21,241
2023-06-22,263
2023-06-23,254
2023-06-24,172
2023-06-25,197
2023-06-26,250
2023-06-27,264
2023-06-28,276
2023-06-29,263
2023-06-30,260
2023-07-01,194
2023-07-02,192
2023-07-03,247
2023-07-04,270
2023-07-05,244
2023-07-06,238
2023-07-07,258
2023-07-08,189
2023-07-09,193
2023-07-10,263
2023-07-11,237
2023-07-12,242
2023-07-13,269
2023-07-14,236
2023-07-15,196
2023-07-16,193
2023-07-17,231
2023-07-18,247
2023-07-19,257
2023-07-20,243
2023-07-21,283
2023-07-22,195
2023-07-23,189
2023-07-24,288
2023-07-25,269
2023-07-26,265
2023-07-27,249
2023-07-28,234
2023-07-29,182
2023-07-30,184
2023-07-31,256
2023-08-01,271
2023-08-02,258
2023-08-03,232
2023-08-04,247
2023-08-05,204
2023-08-06,184
2023-08-07,252
2023-08-08,236
2023-08-09,250
2023-08-10,264
2023-08-11,268
2023-08-12,197
2023-08-13,210
2023-08-14,239
2023-08-15,244
2023-08-16,238
2023-08-17,251
2023-08-18,229
2023-08-19,193
2023-08-20,186
2023-08-21,251
2023-08-22,282
2023-08-23,253
2023-08-24,256
2023-08-25,257
2023-08-26,188
2023-08-27,182
2023-08-28,258
2023-08-29,267
2023-08-30,267
2023-08-31,287
2023-09-01,246
2023-09-02,188
2023-09-03,188
2023-09-04,252
2023-09-05,276
2023-09-06,247
2023-09-07,251
2023-09-08,250
2023-09-09,193
2023-09-10,181
2023-09-11,243
2023-09-12,271
2023-09-13,265
2023-09-14,254
2023-09-15,256
2023-09-16,190
2023-09-17,183
2023-09-18,263
2023-09-19,233
2023-09-20,230
2023-09-21,261
2023-09-22,248
2023-09-23,180
2023-09-24,207
2023-09-25,268
2023-09-26,248
2023-09-27,271
2023-09-28,264
2023-09-29,250
2023-09-30,180
2023-10-01,189
2023-10-02,259
2023-10-03,251
2023-10-04,256
2023-10-05,221
2023-10-06,217
2023-10-07,193
2023-10-08,191
2023-10-09,255
2023-10-10,262
2023-10-11,259
2023-10-12,225
2023-10-13,247
2023-10-14,190
2023-10-15,177
2023-10-16,245
2023-10-17,256
2023-10-18,225
2023-10-19,270
2023-10-20,274
2023-10-21,168
2023-10-22,175
2023-10-23,261
2023-10-24,275
2023-10-25,267
2023-10-26,262
2023-10-27,263
2023-10-28,178
2023-10-29,188
2023-10-30,271
2023-10-31,246
2023-11-01,269
2023-11-02,259
2023-11-03,258
2023-11-04,199
2023-11-05,196
2023-11-06,272
2023-11-07,247
2023-11-08,260
2023-11-09,270
2023-11-10,254
2023-11-11,207
2023-11-12,184
2023-11-13,263
2023-11-14,245
2023-11-15,236
2023-11-16,269
2023-11-17,257
2023-11-18,188
2023-11-19,186
2023-11-20,245
2023-11-21,248
2023-11-22,242
2023-11-23,240
2023-11-24,267
2023-11-25,203
2023-11-26,186
2023-11-27,253
2023-11-28,237
2023-11-29,254
2023-11-30,260
2023-12-01,274
2023-12-02,194
2023-12-03,181
2023-12-04,276
2023-12-05,268
2023-12-06,267
2023-12-07,253
2023-12-08,260
2023-12-09,197
2023-12-10,189
2023-12-11,241
2023-12-12,284
2023-12-13,232
2023-12-14,277
2023-12-15,264
2023-12-16,186
2023-12-17,178
2023-12-18,264
2023-12-19,239
2023-12-20,242
2023-12-21,232
2023-12-22,239
2023-12-23,197
2023-12-24,184
2023-12-25,253
2023-12-26,250
2023-12-27,269
2023-12-28,279
2023-12-29,258
2023-12-30,162
2023-12-31,182
2024-01-01,516
2024-01-02,491
2024-01-03,495
2024-01-04,500
2024-01-05,464
2024-01-06,354
2024-01-07,352
2024-01-08,502
2024-01-09,512
2024-01-10,473
2024-01-11,471
2024-01-12,519
2024-01-13,363
2024-01-14,362
2024-01-15,486
2024-01-16,502
2024-01-17,490
2024-01-18,487
2024-01-19,483
2024-01-20,365
2024-01-21,370
2024-01-22,487
2024-01-23,500
2024-01-24,515
2024-01-25,505
2024-01-26,487
2024-01-27,376
2024-01-28,342
2024-01-29,519
2024-01-30,506
2024-01-31,501
2024-02-01,490
2024-02-02,524
2024-02-03,363
2024-02-04,356
2024-02-05,488
2024-02-06,506
2024-02-07,541
2024-02-08,511
2024-02-09,495
2024-02-10,365
2024-02-11,363
2024-02-12,468
2024-02-13,496
2024-02-14,490
2024-02-15,521
2024-02-16,520
2024-02-17,343
2024-02-18,352
2024-02-19,485
2024-02-20,503
2024-02-21,494
2024-02-22,501
2024-02-23,505
2024-02-24,369
2024-02-25,361
2024-02-26,512
2024-02-27,487
2024-02-28,476
2024-02-29,519
2024-03-01,495
2024-03-02,343
2024-03-03,350
2024-03-04,463
2024-03-05,471
2024-03-06,498
2024-03-07,504
2024-03-08,488
2024-03-09,360
2024-03-10,350
2024-03-11,489
2024-03-12,528
2024-03-13,488
2024-03-14,473
2024-03-15,486
2024-03-16,328
2024-03-17,344
2024-03-18,488
2024-03-19,489
2024-03-20,500
2024-03-21,501
2024-03-22,519
2024-03-23,345
2024-03-24,375
2024-03-25,467
2024-03-26,487
2024-03-27,493
2024-03-28,519
2024-03-29,504
2024-03-30,376
2024-03-31,359
2024-04-01,483
2024-04-02,481
2024-04-03,483
2024-04-04,488
2024-04-05,492
2024-04-06,345
2024-04-07,353
2024-04-08,494
2024-04-09,489
2024-04-10,490
2024-04-11,514
2024-04-12,491
2024-04-13,337
2024-04-14,350
2024-04-15,491
2024-04-16,505
2024-04-17,450
2024-04-18,501
2024-04-19,536
2024-04-20,374
2024-04-21,333
2024-04-22,484
2024-04-23,519
2024-04-24,502
2024-04-25,505
2024-04-26,479
2024-04-27,376
2024-04-28,370
2024-04-29,482
2024-04-30,504
2024-05-01,497
2024-05-02,505
2024-05-03,485
2024-05-04,362
2024-05-05,349
2024-05-06,504
2024-05-07,479
2024-05-08,513
2024-05-09,515
2024-05-10,471
2024-05-11,373
2024-05-12,370
2024-05-13,505
2024-05-14,441
2024-05-15,514
2024-05-16,492
2024-05-17,494
2024-05-18,382
2024-05-19,380
2024-05-20,508
2024-05-21,516
2024-05-22,493
2024-05-23,487
2024-05-24,510
2024-05-25,368
2024-05-26,376
2024-05-27,488
2024-05-28,483
2024-05-29,518
2024-05-30,466
2024-05-31,461
2024-06-01,364
2024-06-02,372
2024-06-03,519
2024-06-04,484
2024-06-05,529
2024-06-06,499
2024-06-07,549
2024-06-08,360
2024-06-09,351
2024-06-10,508
2024-06-11,466
2024-06-12,502
2024-06-13,500
2024-06-14,490
2024-06-15,379
2024-06-16,368
2024-06-17,474
2024-06-18,487
2024-06-19,480
2024-06-20,508
2024-06-21,501
2024-06-22,372
2024-06-23,369
2024-06-24,509
2024-06-25,487
2024-06-26,471
2024-06-27,487
2024-06-28,483
2024-06-29,377
2024-06-30,361
2024-07-01,490
2024-07-02,462
2024-07-03,511
2024-07-04,487
2024-07-05,505
2024-07-06,374
2024-07-07,369
2024-07-08,496
2024-07-09,479
2024-07-10,508
2024-07-11,480
2024-07-12,525
2024-07-13,360
2024-07-14,366
2024-07-15,483
2024-07-16,477
2024-07-17,468
2024-07-18,480
2024-07-19,467
2024-07-20,351
2024-07-21,360
2024-07-22,514
2024-07-23,501
2024-07-24,493
2024-07-25,503
2024-07-26,461
2024-07-27,381
2024-07-28,373
2024-07-29,502
2024-07-30,475
2024-07-31,508
2024-08-01,500
2024-08-02,520
2024-08-03,365
2024-08-04,379
2024-08-05,482
2024-08-06,482
2024-08-07,462
2024-08-08,501
2024-08-09,498
2024-08-10,331
2024-08-11,364
2024-08-12,508
2024-08-13,493
2024-08-14,499
2024-08-15,495
2024-08-16,471
2024-08-17,348
2024-08-18,366
2024-08-19,502
2024-08-20,489
2024-08-21,490
2024-08-22,486
2024-08-23,494
2024-08-24,347
2024-08-25,352
2024-08-26,514
2024-08-27,491
2024-08-28,490
2024-08-29,466
2024-08-30,492
2024-08-31,360
2024-09-01,329
2024-09-02,502
2024-09-03,526
2024-09-04,459
2024-09-05,473
2024-09-06,487
2024-09-07,372
2024-09-08,376
2024-09-09,488
2024-09-10,504
2024-09-11,469
2024-09-12,502
2024-09-13,495
2024-09-14,369
2024-09-15,363
2024-09-16,459
2024-09-17,504
2024-09-18,469
2024-09-19,477
2024-09-20,500
2024-09-21,355
2024-09-22,347
2024-09-23,494
2024-09-24,494
2024-09-25,500
2024-09-26,503
2024-09-27,512
2024-09-28,350
2024-09-29,375
2024-09-30,478
2024-10-01,560
2024-10-02,511
2024-10-03,470
2024-10-04,498
2024-10-05,366
2024-10-06,346
2024-10-07,491
2024-10-08,497
2024-10-09,493
2024-10-10,540
2024-10-11,486
2024-10-12,355
2024-10-13,382
2024-10-14,503
2024-10-15,478
2024-10-16,512
2024-10-17,528
2024-10-18,481
2024-10-19,370
2024-10-20,361
2024-10-21,458
2024-10-22,472
2024-10-23,500
2024-10-24,498
2024-10-25,522
2024-10-26,349
2024-10-27,344
2024-10-28,500
2024-10-29,491
2024-10-30,540
2024-10-31,452
2024-11-01,514
2024-11-02,372
2024-11-03,377
2024-11-04,487
2024-11-05,494
2024-11-06,476
2024-11-07,535
2024-11-08,511
2024-11-09,364
2024-11-10,357
2024-11-11,472
2024-11-12,492
2024-11-13,511
2024-11-14,447
2024-11-15,516
2024-11-16,364
2024-11-17,374
2024-11-18,501
2024-11-19,478
2024-11-20,497
2024-11-21,499
2024-11-22,476
2024-11-23,347
2024-11-24,372
2024-11-25,460
2024-11-26,513
2024-11-27,508
2024-11-28,459
2024-11-29,520
2024-11-30,388
2024-12-01,332
2024-12-02,469
2024-12-03,484
2024-12-04,478
2024-12-05,491
2024-12-06,506
2024-12-07,373
2024-12-08,361
2024-12-09,520
2024-12-10,543
2024-12-11,484
2024-12-12,490
2024-12-13,475
2024-12-14,370
2024-12-15,352
2024-12-16,498
2024-12-17,529
2024-12-18,513
2024-12-19,497
2024-12-20,514
2024-12-21,360
2024-12-22,366
2024-12-23,491
2024-12-24,528
2024-12-25,495
2024-12-26,474
2024-12-27,495
2024-12-28,371
2024-12-29,369
2024-12-30,496
2024-12-31,525
